article_date,article_author,article_author_ip,article_content
2022/01/08 16:33:45,coober ,101.136.60.126,一個月來打違建的東西--是在道德上摧毀顏家--對於顏家多年來公親變地主的部分--則激起了當地反顏家的力量--但即使如此也只是五五波--勝負難分-----真正的關鍵是本周開始出來的中捷--那是直接的切身利益--顏家獨食的問題已經超越道德的部分--龍井 大肚--還有沙鹿火車站--三井共構轉彎--每一個都是直擊要害--這些打下去的結果 是造成當地人反彈顏家--所以冬瓜家才會緊急動員柯媽 館長 這些人輪番出手--還有甚麼暈倒的事情--這幾個都是在轉移焦點 避免捷運的事情發酵----最重要的是--我看到賴與林週五競選的講話--如果五五波 他們是不會這樣講的--看到他們這樣講 就知道應該是有拉開一定程度了---  說到重點了
2022/01/08 01:53:10,coober ,114.136.48.116,公投的時候--Dpp動員--但是主要是蘇跟賴--蔡只是意思意思一下--結果大家都看到了-----這次蔡只有一場大型造勢--蘇不來 只剩下賴在跑--可見已經有一定的差距了--剩下開票出來就知道--我不認為是五五波---- 
2022/01/08 00:16:50,coober ,101.136.82.106,其實只要健康的吃 加上運動--肥胖體型要瘦都很快--之前110公斤--開始跑健身房--兩個月就瘦到88公斤 減了22公斤--後來88降到82公斤 花了一個月--再後來82降到78公斤 整整花了三個月-----因為有重訓--想把肌肉維持住--到後期想減少脂肪  不要掉肌肉--就會比較慢了--但前期超重體型的時候 其實要減都超快--每周都能看到成果-----龐佩奧有說他除了運動--還有健康的飲食--其實就是在飲食上也有堅持住---- 
2022/01/07 21:21:26,coober ,101.136.82.106,: 我記得2018年 地方縣市長選戰 民進黨被打得很慘 : 最終連高雄本陣都掉了 結果短短一年 2020馬上收復失土 還連本帶利討回來 : 2020總統大選 總統跟立委也都選的不錯 單一政黨過半 : 然後到了公投 本來選前民調是四個同意 都領先 不同意 : 結果投票完後 跌破所有人眼鏡 竟然開出四個不同意 : 現在又緊接著要打中二區選戰 真的是全黨直逼中二選區 : 總統副總統行政院長 還有立委議員 也下去掃街、站路口催票 : 連廣告都做得很感性 這議題回歸到原點--還是市政治理的問題--也就市長能力夠不夠  有沒有勤於市政--選舉策略那些只是輔助而已---kmt跟柯黨可以聯合起來 一時的欺騙到人民--但上任之後終究是要面對實質檢驗的--高雄是很快就露出破綻 然後被打臉--台中的部分 其實也是kmt自作孽--拿到了權力 馬上肆無忌憚--出現了那個很扯的捷運藍線-----年底的選舉--基隆 桃園 新竹 三個縣市--都是有可能被kmt拿去的--但當選才是災難的開始--dpp幾個能力佳又勤政的市長--已經把市民的胃口都養壞了--如果換回去kmt市長--很快不出半年 人民就會感受到那種差異--開始傳出各類的抱怨與不滿--剛好那時是2023年中  總統競選開始期間--到時候戲一定很精彩--- 
2022/01/07 20:30:20,coober ,101.136.82.106,其實不難猜--就是沒招了--只好轉移風向--反正就剩沒幾天了-----但問題是--即使選舉過了--還是要面對中捷問題啊--盧秘書面對記者已經連閃三次了--她打算就這麼閃避到年底嗎???---- 
2022/01/07 17:10:38,coober ,114.136.48.116,記得好幾年前就有人爆料提到過了--柯黨的海選--就是想要用特定人士--但這個特定人士沒有民間聲望 資歷普普 甚至還有一些劣跡--如果直接任用這種人很難交代--所以用海選的名義--但其實一開始就內定了--- 
2022/01/08 19:36:46,coober ,101.136.60.126,大家一直講--林九萬  林九萬--本來是叫來酸的--但不知道怎麼了--現在看來好像成真了----我揉揉眼不敢相信--怎麼可能林九萬--但看狀況似又真的要成為現實了--這下陳為廷一定很羨慕- 
2022/01/08 17:29:31,coober ,101.136.60.126,:  : 沙鹿天氣 :  : 台北天氣 : 感覺是還滿冷的啦 投票率應該不高 : 小冬瓜的計數器如果有發揮作用 : 那應該4小冬瓜險勝吧 嘻嘻 : 希望我被打臉QQ 天氣 外地返鄉投票都已經無關了--捷運顏線的問題--已經是直擊當地人內心的事情--會造成倒戈效應----這跟藍綠已經無關了--若捷運開我家附近--假設我有40坪房子 一坪漲5萬--那就是200萬--顏家為了他私利 把捷運拉去他們土地上--害我少200萬--奪財之恨難消阿-----你看那些年金改革的退休軍公教--恨蔡英文恨得牙癢癢--現在台中龍井那邊的人--想的也是同樣的事情---- 
2022/01/09 01:11:27,coober ,101.137.225.126,很簡單~--因為她會落選---這次地方選舉不同於上次2018--檢驗政績這種東西是很殘酷的--kmt固然上次靠地方派系獲勝--但偏偏這些地方派系也是最不堪檢驗的--所以2022會變成dpp成為進攻方--kmt反倒成為逆風狀態 (很多藍藍路還在那邊穩穩穩 我聽了都快笑死了)--因此kmt在現任同額提名的狀況 會有不少人落選--在這種情況下 相比王鴻薇這種老議員--巧芯是非常危險的 所以他很早就有危機感--一直表態 上電視 表現一副深藍嘴臉--看能不能盡量拉一些深藍票--不過對於她的情況 我是比較悲觀 不看好的-----另一個有相似狀況的就是葉原汁--他因為在的選區性質不同--所以一直上綠營節目 假裝被罵 假裝委屈--並適時的對於綠營看法表示尊重與同理心--就像高嘉瑜要去少康戰情室一樣-----2022這一戰--應該會斬斷很多2018新上任的藍營年輕議員任期--讓kmt再一次只剩下老人--看著好了-- 
2022/01/08 16:51:01,amgdaaaa ,36.225.2.109,晚會最後階段--水餃大王坐在輪椅上 被人推出來--一臉快掛的樣子蒼白模樣--一家大小全都痛哭上去迎接--水餃小王把大王從輪椅上扶起來--水餃大王很艱難的從輪椅爬起來--一步一步的走到台前--現場跟大型牽亡法會一樣--哭的哭 跪的跪---水餃大王用著虛弱的聲音--一個字一個字的慢慢唸出來--拜託大家 支持打拼的水餃一家 我們整家被政治追殺 被造謠抹黑 (下省500字)--最後驚天一跪 還磕頭--旁邊全部人都哭喪著臉--左邊水餃公主 右邊水餃小王 一人一手牽著水餃大王 一起跪下--跟台下所有人哭聲淒厲的拜託--拜託大家集中選票 搶救水餃小王--台下的選民也哭成一團--主持人聲嘶力竭的喊著 搶救水餃----整個畫面都出來了  就問你們信不信-- 
